Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,CompositeDepth5y,Sector,Region,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
06-Mar-19,A,Agilent Tech Inc,008CA0,SNRFOR,USD,XR14,Composite,0.44%,0.48%,0.58%,0.70%,0.95%,1.00%,1.06%,1.05%,1.04%,1.04%,35%,2,Industrial,N.Amer,BBB,BB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,AAGM-AGD,AngloGold Ashanti Ltd,SS467A,SNRFOR,USD,CR14,Composite,1.16%,1.21%,1.40%,1.63%,2.02%,2.26%,2.57%,2.66%,2.71%,,40%,4,Materials,Africa,BB,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,,CcyGrp
06-Mar-19,AAUK,Anglo Amern plc,037CDU,SNRFOR,EUR,MM14,Composite,0.11%,0.14%,0.23%,0.45%,1.06%,1.58%,1.83%,1.92%,1.97%,2.05%,40%,12,Materials,Europe,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ABBVINC,ABBVIE INC,002AF5,SNRFOR,USD,XR14,Composite,0.23%,0.23%,0.26%,0.34%,0.68%,0.96%,1.21%,1.39%,1.47%,1.55%,40%,2,,N.Amer,BBB,BBB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,ABC,AmerisourceBergen Corp,0D37AH,SNRFOR,USD,XR14,Composite,0.09%,0.14%,0.27%,0.44%,0.86%,1.05%,1.21%,1.29%,1.33%,1.37%,40%,7,Consumer Cyclical,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ABCLL,Anheuser Busch Cos LLC,0D875J,SNRFOR,USD,XR14,Composite,0.13%,0.20%,0.27%,0.44%,0.88%,1.08%,1.22%,1.23%,1.22%,1.22%,40%,3,Consumer Stable,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ABE,ABERTIS INFRAESTRUCTURAS SA,EE003G,SNRFOR,EUR,MM14,Composite,0.14%,0.17%,0.31%,0.53%,0.95%,1.26%,1.44%,1.51%,1.54%,1.57%,40%,6,Industrial,Europe,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ABHLTD,Alliance Boots Hldgs Ltd,GG26AM,SNRFOR,EUR,MM14,Composite,0.54%,0.64%,0.94%,1.32%,1.74%,1.88%,2.09%,2.23%,2.31%,2.36%,40%,6,Consumer Cyclical,Europe,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ABT,Abbott Labs,002AA6,SNRFOR,USD,XR14,Composite,0.08%,0.09%,0.15%,0.23%,0.42%,0.57%,0.69%,0.77%,0.81%,0.86%,40%,8,Consumer Stable,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ABX,Barrick Gold Corp,06DG91,SNRFOR,USD,XR14,Composite,0.08%,0.10%,0.18%,0.30%,0.67%,1.03%,1.35%,1.52%,1.62%,1.63%,40%,10,Materials,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ABX-FinCo,Barrick Gold Fin Co,06ECD4,SNRFOR,USD,XR14,Composite,0.08%,0.10%,0.18%,0.30%,0.67%,1.04%,1.31%,1.46%,1.55%,1.66%,40%,4,,N.Amer,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,ACAFP,Cr Agricole SA,FH49GG,SNRFOR,EUR,MM14,Composite,0.09%,0.12%,0.17%,0.24%,0.39%,0.52%,0.64%,0.69%,0.72%,0.75%,40%,11,Financial,Europe,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ACAFP,Cr Agricole SA,FH49GG,SNRLAC,EUR,MM14,Composite,0.14%,0.19%,0.33%,0.47%,0.72%,0.95%,1.09%,1.12%,1.14%,1.16%,40%,11,Financial,Europe,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ACAFP,Cr Agricole SA,FH49GG,SUBLT2,EUR,MM14,Composite,0.23%,0.28%,0.43%,0.63%,1.11%,1.44%,1.70%,1.79%,1.86%,1.91%,20%,11,Financial,Europe,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ACAFP-CIB,Cr Agricole Corporate and Invt Bk,FH49EJ,SNRFOR,EUR,MM14,Composite,0.08%,0.09%,0.13%,0.20%,0.35%,0.47%,0.59%,0.64%,0.68%,0.75%,45%,2,Financial,Europe,A,AA,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,ACAFP-CIB,Cr Agricole Corporate and Invt Bk,FH49EJ,SUBLT2,EUR,MM14,Composite,0.10%,0.23%,0.40%,0.53%,0.78%,0.97%,1.12%,1.20%,1.25%,1.32%,25%,2,Financial,Europe,A,AA,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,ACCOR,ACCOR,0A477B,SNRFOR,EUR,MM14,Composite,0.09%,0.11%,0.21%,0.31%,0.61%,0.86%,1.03%,1.10%,1.13%,1.18%,40%,8,Consumer Cyclical,Europe,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,ACEA,Acea Spa,TT044K,SNRFOR,EUR,MM14,Composite,0.18%,0.22%,0.41%,0.58%,0.88%,1.00%,1.05%,,,1.28%,40%,2,,Europe,BBB,BB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,,,Thin,Thin
06-Mar-19,ACG,Arch Cap Group Ltd,GG495A,SNRFOR,USD,XR14,Composite,0.52%,0.54%,0.73%,0.97%,1.46%,1.67%,1.95%,2.09%,2.16%,2.21%,40%,2,Financial,N.Amer,A,BB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,ACI-AWF,Arch Westn Fin LLC,03CCC0,SNRFOR,USD,XR14,Composite,,0.31%,0.39%,0.44%,0.61%,0.62%,0.62%,,,,40%,2,Energy,N.Amer,,BBB,,Thin,Thin,Thin,Thin,Thin,Thin,,,,Thin
