"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","A","Agilent Tech Inc","008CA0","SNRFOR","USD","MR14","0.458444%","0.499765%","0.600578%","0.723205%","0.875387%","0.984992%","1.034114%","1.096915%","1.087752%","1.077252%","1.078613%","35%","","Consumer Goods","N.Amer","United States","BBB","BB"
"06-MAR-19","E","A","Agilent Tech Inc","008CA0","SNRFOR","USD","XR14","0.44294%","0.48285999999999996%","0.580257%","0.6987260000000001%","0.8457410000000001%","0.9516169999999999%","0.9990330000000001%","1.0596400000000001%","1.050692%","1.040467%","1.041644%","35%","","Consumer Goods","N.Amer","United States","BBB","BB"
"06-MAR-19","E","AAGM-AGD","AngloGold Ashanti Ltd","SS467A","SNRFOR","EUR","MM14","1.17012%","1.211899%","1.4087610000000002%","1.6325209999999999%","1.857302%","2.0207550000000003%","2.263799%","2.568247%","2.654024%","2.705158%","","40%","","Basic Materials","Africa","South Africa","BB","B"
"06-MAR-19","E","AAGM-AGD","AngloGold Ashanti Ltd","SS467A","SNRFOR","USD","CR14","1.17012%","1.211899%","1.4087610000000002%","1.6325209999999999%","1.857302%","2.0207550000000003%","2.263799%","2.568247%","2.654024%","2.705158%","","40%","","Basic Materials","Africa","South Africa","BB","B"
"06-MAR-19","E","AAGM-AGD","AngloGold Ashanti Ltd","SS467A","SNRFOR","USD","MM14","1.17012%","1.211899%","1.4087610000000002%","1.6325209999999999%","1.857302%","2.0207550000000003%","2.263799%","2.568247%","2.654024%","2.705158%","","40%","","Basic Materials","Africa","South Africa","BB","B"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","AUD","MM14","0.10400699999999999%","0.138058%","0.212407%","0.401544%","0.6733720000000001%","0.95192%","1.402688%","1.6910459999999998%","1.772317%","1.815649%","1.8881809999999999%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","CHF","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","EUR","CR14","0.12128200000000001%","0.16105799999999998%","0.24785300000000002%","0.46829899999999997%","0.784635%","1.10828%","1.630943%","1.965251%","2.062253%","2.11401%","2.199107%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","EUR","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","EUR","MR14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","GBP","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","JPY","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","SEK","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","USD","CR14","0.12128200000000001%","0.16105799999999998%","0.24785300000000002%","0.46829899999999997%","0.784635%","1.10828%","1.630943%","1.965251%","2.062253%","2.11401%","2.199107%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","USD","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","AAUK","Anglo Amern plc","037CDU","SNRFOR","ZAR","MM14","0.115563%","0.153397%","0.235993%","0.446019%","0.747572%","1.056163%","1.554638%","1.873588%","1.965306%","2.014158%","2.094917%","40%","","Basic Materials","Europe","United Kingdom","BBB","BB"
"06-MAR-19","E","ABBVINC","ABBVIE INC","002AF5","SNRFOR","EUR","MM14","0.239496%","0.23515799999999998%","0.270413%","0.342581%","0.57314%","0.696346%","0.983595%","1.234372%","1.420356%","1.509042%","1.5932290000000002%","40%","","Healthcare","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","ABBVINC","ABBVIE INC","002AF5","SNRFOR","USD","MR14","0.239496%","0.23515799999999998%","0.270413%","0.342581%","0.57314%","0.696346%","0.983595%","1.234372%","1.420356%","1.509042%","1.5932290000000002%","40%","","Healthcare","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","ABBVINC","ABBVIE INC","002AF5","SNRFOR","USD","XR14","0.23251%","0.228264%","0.262448%","0.332491%","0.556305%","0.675891%","0.954693%","1.198036%","1.378388%","1.46431%","1.545703%","40%","","Healthcare","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","ABC","AmerisourceBergen Corp","0D37AH","SNRFOR","EUR","XR14","0.086622%","0.136577%","0.268102%","0.44462199999999996%","0.638678%","0.865079%","1.051294%","1.217109%","1.29991%","1.338451%","1.372557%","40%","","Consumer Services","N.Amer","United States","BBB","BB"
"06-MAR-19","E","ABC","AmerisourceBergen Corp","0D37AH","SNRFOR","USD","MR14","0.089439%","0.141043%","0.27686299999999997%","0.45913200000000004%","0.659514%","0.893298%","1.085591%","1.2568620000000001%","1.342461%","1.382416%","1.417962%","40%","","Consumer Services","N.Amer","United States","BBB","BB"
"06-MAR-19","E","ABC","AmerisourceBergen Corp","0D37AH","SNRFOR","USD","XR14","0.086622%","0.136577%","0.268102%","0.44462199999999996%","0.638678%","0.865079%","1.051294%","1.217109%","1.29991%","1.338451%","1.372557%","40%","","Consumer Services","N.Amer","United States","BBB","BB"
"06-MAR-19","E","ABCLL","Anheuser Busch Cos LLC","0D875J","SNRFOR","EUR","MR14","0.13118%","0.20356%","0.275301%","0.458797%","0.66439%","0.913475%","1.1168%","1.267879%","1.268106%","1.267674%","1.2662339999999999%","40%","","Consumer Goods","N.Amer","United States","BBB","BB"
"06-MAR-19","E","ABCLL","Anheuser Busch Cos LLC","0D875J","SNRFOR","EUR","XR14","0.126743%","0.19667700000000002%","0.26599%","0.44328199999999995%","0.641922%","0.882585%","1.079035%","1.225011%","1.2252290000000001%","1.224815%","1.223429%","40%","","Consumer Goods","N.Amer","United States","BBB","BB"
"06-MAR-19","E","ABCLL","Anheuser Busch Cos LLC","0D875J","SNRFOR","JPY","MR14","0.13118%","0.20356%","0.275301%","0.458797%","0.66439%","0.913475%","1.1168%","1.267879%","1.268106%","1.267674%","1.2662339999999999%","40%","","Consumer Goods","N.Amer","United States","BBB","BB"
