date,EUR6M,SWAP_2y,SWAP_3y,SWAP_4y,SWAP_5y,SWAP_6y,SWAP_7y,SWAP_8y,SWAP_9y,SWAP_10y,SWAP_12y,SWAP_15y,SWAP_20y,SWAP_25y,SWAP_30y,SWAP_40y,SWAP_50y,SWAP_60y
05/01/2001,4.584,4.465,4.595,4.715,4.835,4.945,5.055,5.145,5.215,5.275,5.395,5.545,5.665,5.715,5.705,N/A,N/A,N/A
08/01/2001,4.576,4.475,4.585,4.705,4.815,4.935,5.045,5.135,5.205,5.265,5.385,5.535,5.655,5.705,5.695,N/A,N/A,N/A
09/01/2001,4.61,4.565,4.675,4.785,4.895,4.995,5.105,5.185,5.245,5.305,5.425,5.565,5.695,5.735,5.735,N/A,N/A,N/A
10/01/2001,4.686,4.665,4.775,4.875,4.975,5.065,5.165,5.245,5.305,5.365,5.475,5.625,5.755,5.795,5.795,N/A,N/A,N/A
11/01/2001,4.704,4.625,4.755,4.845,4.945,5.045,5.145,5.225,5.295,5.345,5.465,5.615,5.755,5.805,5.795,N/A,N/A,N/A
12/01/2001,4.711,4.675,4.785,4.875,4.975,5.075,5.175,5.255,5.325,5.385,5.495,5.645,5.775,5.825,5.825,N/A,N/A,N/A
15/01/2001,4.727,4.685,4.775,4.865,4.965,5.065,5.165,5.255,5.315,5.375,5.485,5.635,5.775,5.815,5.815,N/A,N/A,N/A
16/01/2001,4.7,4.675,4.765,4.855,4.955,5.055,5.165,5.245,5.315,5.375,5.495,5.645,5.785,5.835,5.825,N/A,N/A,N/A
17/01/2001,4.708,4.665,4.775,4.855,4.945,5.045,5.145,5.235,5.295,5.355,5.475,5.615,5.755,5.805,5.795,N/A,N/A,N/A
18/01/2001,4.687,4.635,4.735,4.825,4.915,5.025,5.125,5.215,5.285,5.345,5.465,5.615,5.765,5.805,5.805,N/A,N/A,N/A
19/01/2001,4.658,4.625,4.745,4.835,4.925,5.035,5.145,5.245,5.325,5.385,5.505,5.665,5.815,5.865,5.855,N/A,N/A,N/A
22/01/2001,4.649,4.64,4.745,4.845,4.945,5.055,5.165,5.265,5.335,5.405,5.525,5.675,5.825,5.865,5.865,N/A,N/A,N/A
23/01/2001,4.648,4.635,4.735,4.825,4.925,5.035,5.145,5.245,5.315,5.375,5.505,5.645,5.795,5.845,5.845,N/A,N/A,N/A
24/01/2001,4.671,4.705,4.795,4.885,4.975,5.075,5.185,5.265,5.335,5.395,5.515,5.655,5.785,5.845,5.835,N/A,N/A,N/A
25/01/2001,4.692,4.745,4.835,4.925,5.01,5.105,5.205,5.28,5.35,5.395,5.505,5.645,5.775,5.825,5.815,N/A,N/A,N/A
26/01/2001,4.694,4.765,4.845,4.925,5.015,5.105,5.205,5.275,5.345,5.395,5.515,5.645,5.785,5.835,5.825,N/A,N/A,N/A
29/01/2001,4.693,4.725,4.815,4.895,4.985,5.085,5.185,5.265,5.325,5.385,5.495,5.635,5.775,5.815,5.815,N/A,N/A,N/A
30/01/2001,4.686,4.655,4.755,4.835,4.935,5.035,5.135,5.225,5.295,5.355,5.465,5.605,5.745,5.785,5.785,N/A,N/A,N/A
31/01/2001,4.628,4.615,4.705,4.795,4.895,4.995,5.105,5.195,5.265,5.335,5.445,5.595,5.725,5.775,5.775,N/A,N/A,N/A
01/02/2001,4.606,4.605,4.695,4.785,4.875,4.985,5.085,5.175,5.245,5.305,5.425,5.565,5.705,5.755,5.755,N/A,N/A,N/A
02/02/2001,4.641,4.625,4.705,4.795,4.885,4.985,5.095,5.175,5.245,5.312,5.415,5.555,5.685,5.735,5.735,N/A,N/A,N/A
05/02/2001,4.637,4.605,4.675,4.765,4.855,4.955,5.055,5.135,5.205,5.265,5.385,5.515,5.655,5.705,5.705,N/A,N/A,N/A
06/02/2001,4.637,4.625,4.705,4.785,4.875,4.975,5.075,5.155,5.225,5.285,5.395,5.525,5.665,5.715,5.705,N/A,N/A,N/A
07/02/2001,4.644,4.605,4.685,4.765,4.855,4.955,5.055,5.145,5.215,5.265,5.385,5.515,5.655,5.705,5.705,N/A,N/A,N/A
08/02/2001,4.645,4.655,4.735,4.825,4.915,5.005,5.105,5.185,5.255,5.315,5.425,5.555,5.685,5.735,5.735,N/A,N/A,N/A
09/02/2001,4.658,4.635,4.705,4.785,4.875,4.965,5.065,5.145,5.215,5.275,5.385,5.515,5.645,5.695,5.695,N/A,N/A,N/A
12/02/2001,4.644,4.635,4.705,4.795,4.885,4.975,5.075,5.155,5.215,5.275,5.385,5.515,5.655,5.705,5.705,N/A,N/A,N/A
13/02/2001,4.645,4.645,4.725,4.805,4.895,4.995,5.095,5.175,5.235,5.295,5.405,5.545,5.685,5.735,5.735,N/A,N/A,N/A
14/02/2001,4.654,4.655,4.735,4.825,4.915,5.005,5.105,5.185,5.245,5.305,5.415,5.545,5.685,5.745,5.745,N/A,N/A,N/A
15/02/2001,4.666,4.725,4.825,4.915,5.005,5.095,5.185,5.255,5.315,5.365,5.475,5.605,5.745,5.795,5.795,N/A,N/A,N/A
16/02/2001,4.675,4.695,4.785,4.885,4.975,5.065,5.165,5.235,5.305,5.355,5.465,5.595,5.735,5.795,5.795,N/A,N/A,N/A
19/02/2001,4.674,4.695,4.775,4.875,4.965,5.055,5.155,5.235,5.295,5.355,5.455,5.595,5.735,5.785,5.785,N/A,N/A,N/A
20/02/2001,4.686,4.735,4.805,4.895,4.985,5.085,5.175,5.255,5.315,5.375,5.475,5.615,5.745,5.805,5.805,N/A,N/A,N/A
21/02/2001,4.7,4.745,4.815,4.905,5.005,5.105,5.195,5.285,5.345,5.395,5.505,5.645,5.775,5.835,5.835,N/A,N/A,N/A
